role_id,pay
ac287d3c659c0b8eb0d98b5e,68.0
a13bcd11a69580a30976b97a,6.0
476afe1ba02b3197e7287927,6.0
9b5f25c8695e455351df2c39,30.0
2ec9425e2b0c1eaa78819718,6.0
b95a78dd7d5efb1ba4b207ff,30.0
fd133018e88a8cbf09c52784,68.0
88e512de3f8deec72f82e131,128.0
6a872d5a47bd42da54de8488,6.0
e9a2bd31a64630326d1e3e25,30.0
acaac7b69fb3b4f8c27b3079,30.0
13fb91ff52858d0f5642bc71,30.0
6d7c5389d4eec4b13c83d709,30.0
257f08bb5d59e90590dd96a9,30.0
86c4bc636f466a77c942a18a,30.0
f1e7b2e5fef72472978855c8,68.0
99a814f6ab2fd0217d076703,6.0
9151ad4a49bdbf93350e5d01,6.0
7e83c4faf4469ff7ab1e46af,6.0
25c56b61df001ff0c371a1a8,6.0
dcc03cdfcdbaf4aa01b72782,30.0
a5d6b0d12df0793ecc87cdfc,68.0
47179ecf5d0cc3f8e5f86b50,68.0
75c7ae161633cd3af3133961,6.0
bf59436d99283479568bc003,128.0
213984d6edbe2ce5d4d44847,6.0
1d9a6de259e1a5af0d866279,6.0
b0d1cb5c9bed13ea5e999d48,30.0
e538abf8f965f4a283757b12,6.0
23758996cbdf9f5619da7dbb,68.0
00f1c2a8b3a9970ba1f36c99,30.0
2cad210de028088c6968894c,6.0
52fcf13b4d56609219ea78c9,6.0
87f08d2126165104a31fd0b0,6.0
7c058599381bf815e765edf6,6.0
f5eaa713d6ce7b58671c62d8,128.0
67173206438b890347126e26,128.0
8544faf0a9fb0ea397bfc894,68.0
125296b748a09d7f4ef86924,6.0
c316b3bfd1cc2e7f84bda718,30.0
f453173de7da0e805c788496,30.0
b893985b679f38b2fc81fef2,30.0
ce56a80ca5133e5ce3597161,30.0
1e4836b2c2c3cf7d9a547973,6.0
bd6ba9504e474bacb1a81fe0,68.0
9828545b6ffa833638510beb,68.0
819a1ec86222d461668b7347,6.0
790fa6757e5f3bafecd57de8,6.0
55ac8a9cdec6e1c7df0c7c9e,68.0
59b203546d80990033da4d8b,68.0
5a1514cb70d3a6796741ad63,6.0
e1612d87a913ece688d93d54,6.0
7378d3437dc1ea190beebd59,30.0
b5121478aef0f1bea61c1f25,30.0
f5de43ad146a73c949f8a488,6.0
4915f0b8edc0402142244fa9,6.0
817839aa6c91bcec438f8638,128.0
faac5520c85d45649909e97b,30.0
b9f81bb7403b4579e17cf6b3,68.0
e9860808a090bc0134b46c3a,6.0
73087bdbdaed5f63610d3bd4,30.0
511b8d2b37fc06edc65702ef,6.0
617e5fea6dd917018a1220aa,30.0
df375f54e3913127c3662b5c,30.0
738c59b2c8feb2c17d7c649e,6.0
2cef142a894dfd7e9fc86c55,6.0
d85c995a4fe0cbe63915bf0a,68.0
260808535de75e2a17245413,6.0
315e06b694c356e0a7b93dee,68.0
4c971e1224ce1fabc097fda7,6.0
28b4fc443026ee362fe3a164,6.0
4cf800936cfc9e40a9e0b555,68.0
5491a913407987e1fc6e67d2,68.0
e48a6b31b535ecba453f9966,6.0
5d02da441a6ce6a552f88e39,68.0
36df795c37be9083addca701,68.0
